Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Alisson\7a2e46a8,br BRA,GK,Liverpool,28,1992,36.0,24,0,0,4,1,27.1,0.28,+4.1,+0.11,187,345,54.2,1189,195,22.5,29.9,171,45.6,40.0,221,21,9.5,63,1.75,18.1,Matches
2,Alphonse Areola\2f965a72,fr FRA,GK,West Ham,28,1993,1.0,1,0,0,0,0,1.2,0.39,+0.2,+0.17,8,28,28.6,27,3,66.7,49.7,14,71.4,53.2,13,1,7.7,0,0.00,7.0,Matches
3,Kepa Arrizabalaga\28d596a0,es ESP,GK,Chelsea,26,1994,4.0,2,0,0,1,0,3.3,0.26,+1.3,+0.34,16,39,41.0,118,28,28.0,30.8,21,28.6,30.2,31,1,3.2,5,1.25,16.2,Matches
4,Daniel Bachmann\1c0eea98,at AUT,GK,Watford,27,1994,12.0,28,3,1,4,2,23.8,0.31,-2.2,-0.19,89,226,39.4,270,44,60.7,47.4,87,71.3,52.7,108,3,2.8,8,0.67,13.1,Matches
5,Asmir Begović\7b4de647,ba BIH,GK,Everton,34,1987,3.0,8,1,0,3,1,5.5,0.27,-1.5,-0.50,21,68,30.9,53,4,79.2,54.2,31,83.9,58.1,23,3,13.0,0,0.00,12.9,Matches
6,Jack Butland\cc70a1d5,eng ENG,GK,Crystal Palace,28,1993,8.5,13,0,1,1,2,11.2,0.37,+0.2,+0.02,33,104,31.7,213,35,32.4,31.9,66,53.0,43.7,83,5,6.0,6,0.71,13.6,Matches
7,Willy Caballero\a179d516,ar ARG,GK,Southampton,39,1981,2.0,5,0,0,1,0,4.3,0.40,-0.7,-0.36,20,39,51.3,46,0,58.7,42.1,13,92.3,59.1,21,1,4.8,4,2.00,21.7,Matches
8,Karl Darlow\cde3309f,eng ENG,GK,Newcastle Utd,30,1990,8.0,15,2,0,1,1,10.6,0.24,-3.4,-0.42,75,172,43.6,189,29,64.6,49.8,64,78.1,59.8,69,8,11.6,4,0.50,14.9,Matches
9,Martin Dúbravka\3a949a25,sk SVK,GK,Newcastle Utd,32,1989,26.0,35,1,0,7,1,38.1,0.36,+4.1,+0.16,222,524,42.4,608,86,50.0,41.1,237,92.8,64.8,211,17,8.1,9,0.35,12.7,Matches
10,Ederson\3bb7b8b4,br BRA,GK,Manchester City,27,1993,37.0,26,1,0,1,0,23.8,0.28,-2.2,-0.06,155,262,59.2,951,151,24.0,30.0,138,24.6,31.6,181,16,8.8,34,0.92,17.2,Matches
