Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Alisson\7a2e46a8,br BRA,GK,Liverpool,28,1992,36,36,3240,36.0,24,0.67,97,73,75.3,27,7,2,20,55.6,0,0,0,0,,Matches
2,Alphonse Areola\2f965a72,fr FRA,GK,West Ham,28,1993,1,1,90,1.0,1,1.00,3,2,66.7,0,0,1,0,0.0,0,0,0,0,,Matches
3,Kepa Arrizabalaga\28d596a0,es ESP,GK,Chelsea,26,1994,4,4,360,4.0,2,0.50,13,11,84.6,2,1,1,2,50.0,0,0,0,0,,Matches
4,Daniel Bachmann\1c0eea98,at AUT,GK,Watford,27,1994,12,12,1080,12.0,28,2.33,69,45,63.8,1,0,11,0,0.0,3,3,0,0,0.0,Matches
5,Asmir Begović\7b4de647,ba BIH,GK,Everton,34,1987,3,3,270,3.0,8,2.67,17,11,58.8,1,0,2,1,33.3,1,1,0,0,0.0,Matches
6,Jack Butland\cc70a1d5,eng ENG,GK,Crystal Palace,28,1993,9,8,765,8.5,13,1.53,28,17,53.6,2,4,2,1,12.5,1,0,1,0,100.0,Matches
7,Willy Caballero\a179d516,ar ARG,GK,Southampton,39,1981,2,2,180,2.0,5,2.50,11,6,54.5,0,1,1,0,0.0,0,0,0,0,,Matches
8,Karl Darlow\cde3309f,eng ENG,GK,Newcastle Utd,30,1990,8,8,720,8.0,15,1.87,37,25,64.9,0,5,3,0,0.0,2,2,0,0,0.0,Matches
9,Martin Dúbravka\3a949a25,sk SVK,GK,Newcastle Utd,32,1989,26,26,2340,26.0,35,1.35,106,71,67.9,13,4,9,8,30.8,1,1,0,0,0.0,Matches
10,Ederson\3bb7b8b4,br BRA,GK,Manchester City,27,1993,37,37,3330,37.0,26,0.70,83,56,69.9,28,6,3,20,54.1,1,1,0,0,0.0,Matches
11,Łukasz Fabiański\9328b835,pl POL,GK,West Ham,36,1985,37,37,3330,37.0,50,1.35,156,105,69.2,16,8,13,8,21.6,6,2,3,1,60.0,Matches
12,Álvaro Fernández\f127d782,es ESP,GK,Brentford,23,1998,12,12,1080,12.0,24,2.00,67,46,65.7,3,2,7,1,8.3,1,1,0,0,0.0,Matches
13,Fraser Forster\c3e39f12,eng ENG,GK,Southampton,33,1988,19,19,1710,19.0,35,1.84,98,67,66.3,6,5,8,3,15.8,2,2,0,0,0.0,Matches
14,Ben Foster\d0b3ceb9,eng ENG,GK,Watford,38,1983,26,26,2340,26.0,49,1.88,111,63,58.6,5,5,16,4,15.4,4,3,1,0,25.0,Matches
15,David de Gea\7ba6d84e,es ESP,GK,Manchester Utd,30,1990,38,38,3420,38.0,57,1.50,177,124,69.5,16,10,12,8,21.1,6,3,3,0,50.0,Matches
16,Vicente Guaita\ab13a5aa,es ESP,GK,Crystal Palace,34,1987,30,30,2655,29.5,33,1.12,113,83,73.5,9,11,10,11,36.7,3,3,0,0,0.0,Matches
17,Angus Gunn\e082af5b,eng ENG,GK,Norwich City,25,1996,9,9,810,9.0,22,2.44,54,34,63.0,1,2,6,1,11.1,4,2,1,1,33.3,Matches
18,Wayne Hennessey\76eca7e2,wls WAL,GK,Burnley,34,1987,2,2,180,2.0,6,3.00,13,7,53.8,0,0,2,0,0.0,0,0,0,0,,Matches
19,Caoimhín Kelleher\62d7ef38,ie IRL,GK,Liverpool,22,1998,2,2,180,2.0,2,1.00,8,5,75.0,1,1,0,1,50.0,0,0,0,0,,Matches
20,Kristoffer Klaesson\3f70db80,no NOR,GK,Leeds United,20,2000,1,0,36,0.4,0,0.00,4,4,100.0,0,0,0,0,,0,0,0,0,,Matches
21,Tim Krul\f23f9d20,nl NED,GK,Norwich City,33,1988,29,29,2610,29.0,62,2.14,158,101,65.2,4,5,20,5,17.2,9,7,1,1,12.5,Matches
22,Bernd Leno\2628fd2b,de GER,GK,Arsenal,29,1992,4,4,360,4.0,9,2.25,19,9,52.6,1,0,3,1,25.0,0,0,0,0,,Matches
23,Hugo Lloris\8f62b6ee,fr FRA,GK,Tottenham,34,1986,38,38,3420,38.0,40,1.05,133,95,71.4,22,5,11,16,42.1,2,2,0,0,0.0,Matches
24,Jonas Lössl\939bc634,dk DEN,GK,Brentford,32,1989,2,2,180,2.0,5,2.50,7,2,28.6,0,0,2,0,0.0,0,0,0,0,,Matches
25,Emiliano Martínez\7956236f,ar ARG,GK,Aston Villa,28,1992,36,36,3240,36.0,48,1.33,136,93,67.6,13,6,17,11,30.6,6,4,1,1,20.0,Matches
26,Alex McCarthy\36c2ca73,eng ENG,GK,Southampton,31,1989,17,17,1530,17.0,27,1.59,71,43,62.0,3,7,7,5,29.4,0,0,0,0,,Matches
27,Edouard Mendy\33887998,sn SEN,GK,Chelsea,29,1992,34,34,3060,34.0,31,0.91,95,70,73.7,19,10,5,14,41.2,6,6,0,0,0.0,Matches
28,Illan Meslier\6b625ac2,fr FRA,GK,Leeds United,21,2000,38,38,3384,37.6,79,2.10,215,139,65.6,9,11,18,5,13.2,5,5,0,0,0.0,Matches
29,Robin Olsen\e7ee38c3,se SWE,GK,Aston Villa,31,1990,1,1,90,1.0,3,3.00,5,2,40.0,0,0,1,0,0.0,0,0,0,0,,Matches
30,Jordan Pickford\4806ec67,eng ENG,GK,Everton,27,1994,35,35,3150,35.0,58,1.66,167,114,65.9,10,6,19,7,20.0,1,1,0,0,0.0,Matches
31,Nick Pope\4b40d9ca,eng ENG,GK,Burnley,29,1992,36,36,3240,36.0,47,1.31,159,116,73.6,7,14,15,9,25.0,5,5,0,0,0.0,Matches
32,Aaron Ramsdale\466fb2c5,eng ENG,GK,Arsenal,23,1998,34,34,3060,34.0,39,1.15,122,84,72.1,21,3,10,12,35.3,6,5,0,1,0.0,Matches
33,David Raya\98ea5115,es ESP,GK,Brentford,25,1995,24,24,2160,24.0,27,1.13,99,75,76.8,10,5,9,8,33.3,4,4,0,0,0.0,Matches
34,John Ruddy\da8b19e2,eng ENG,GK,Wolves,34,1986,2,1,135,1.5,3,2.00,7,4,57.1,0,1,0,0,0.0,0,0,0,0,,Matches
35,José Sá\903b6e8b,pt POR,GK,Wolves,28,1993,37,37,3285,36.5,40,1.10,150,120,79.3,15,5,17,11,29.7,10,9,0,1,0.0,Matches
36,Robert Sánchez\6a713852,es ESP,GK,Brighton,23,1997,37,37,3329,37.0,42,1.14,140,100,72.1,12,15,10,11,29.7,4,3,0,1,0.0,Matches
37,Kasper Schmeichel\53af52f3,dk DEN,GK,Leicester City,34,1986,37,37,3330,37.0,58,1.57,176,125,71.0,13,10,14,7,18.9,10,7,2,1,22.2,Matches
38,Jason Steele\28300a16,eng ENG,GK,Brighton,30,1990,1,1,90,1.0,2,2.00,5,3,60.0,0,0,1,0,0.0,0,0,0,0,,Matches
39,Jed Steer\a8a3d139,eng ENG,GK,Aston Villa,28,1992,1,1,90,1.0,3,3.00,4,1,25.0,0,0,1,0,0.0,0,0,0,0,,Matches
40,Zack Steffen\42130443,us USA,GK,Manchester City,26,1995,1,1,90,1.0,0,0.00,2,2,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
41,Danny Ward\d3ce0e89,wls WAL,GK,Leicester City,28,1993,1,1,90,1.0,1,1.00,5,4,80.0,1,0,0,0,0.0,0,0,0,0,,Matches
42,Freddie Woodman\19e50035,eng ENG,GK,Newcastle Utd,24,1997,4,4,360,4.0,12,3.00,19,9,47.4,0,1,3,0,0.0,3,2,1,0,33.3,Matches
