Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Max Aarons\774cf58b,eng ENG,DF,Norwich City,21,2000,32.0,8,0,0,31,59,1,45,56,37,0,2,1,177,15,51,22.7,Matches
2,Che Adams\f2bf1b0f,sct SCO,FW,Southampton,25,1996,22.7,0,0,0,31,47,7,11,10,9,0,0,0,120,56,111,33.5,Matches
3,Rayan Aït Nouri\9b398aea,fr FRA,DF,Wolves,20,2001,20.3,4,0,0,20,23,3,56,38,43,1,0,0,135,20,19,51.3,Matches
4,Kristoffer Ajer\a8c0acb7,no NOR,DF,Brentford,23,1998,22.2,5,0,0,18,19,0,12,49,22,0,0,0,186,63,38,62.4,Matches
5,Nathan Aké\eaeca114,nl NED,DF,Manchester City,26,1995,10.3,0,0,0,8,5,0,0,18,5,0,0,0,78,41,8,83.7,Matches
6,Marc Albrighton\b827d5b3,eng ENG,FWDF,Leicester City,31,1989,12.6,3,0,0,8,15,2,31,25,16,0,0,0,77,6,11,35.3,Matches
7,Thiago Alcántara\77e84962,es ESP,MF,Liverpool,30,1991,17.0,2,0,0,25,26,0,2,35,40,0,0,0,217,37,16,69.8,Matches
8,Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,Liverpool,22,1998,31.7,2,0,0,16,9,11,127,76,24,0,0,0,319,18,22,45.0,Matches
9,Alisson\7a2e46a8,br BRA,GK,Liverpool,28,1992,36.0,0,0,0,0,5,0,0,0,0,0,0,1,224,0,0,,Matches
10,Allan\cc700722,br BRA,MF,Everton,30,1991,24.3,7,1,0,39,28,0,6,42,61,1,0,0,272,12,13,48.0,Matches
11,Dele Alli\cea4ee8f,eng ENG,MFFW,Tottenham,25,1996,7.3,1,0,0,13,15,2,3,17,7,1,0,0,46,11,13,45.8,Matches
12,Dele Alli\cea4ee8f,eng ENG,MF,Everton,25,1996,3.8,3,0,0,11,7,2,4,10,10,0,0,0,39,8,11,42.1,Matches
13,Miguel Almirón\862a1c15,py PAR,MFFW,Newcastle Utd,27,1994,19.1,2,0,0,20,27,9,22,25,33,0,0,0,122,5,18,21.7,Matches
14,Marcos Alonso\f4290206,es ESP,DF,Chelsea,30,1990,24.1,8,0,0,33,34,3,64,66,28,0,1,0,216,59,26,69.4,Matches
15,Steven Alzate\ad1f61f3,co COL,MF,Brighton,22,1998,4.5,0,0,0,6,8,0,2,14,8,0,0,0,61,7,12,36.8,Matches
16,Daniel Amartey\1a4ef233,gh GHA,DF,Leicester City,26,1994,23.6,4,0,0,17,9,1,0,30,12,0,0,0,211,45,38,54.2,Matches
17,Joachim Andersen\e34fc66d,dk DEN,DF,Crystal Palace,25,1996,32.4,4,0,0,19,8,1,14,60,23,0,0,1,287,84,43,66.1,Matches
18,Michail Antonio\ac05f970,jm JAM,FW,West Ham,31,1990,33.0,8,1,1,51,63,13,54,14,23,0,0,0,138,81,145,35.8,Matches
19,Cameron Archer\05e8ca6d,eng ENG,MFFW,Aston Villa,19,2001,0.3,0,0,0,3,0,0,0,1,0,0,0,0,2,1,2,33.3,Matches
20,Alphonse Areola\2f965a72,fr FRA,GK,West Ham,28,1993,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
21,Adam Armstrong\68c720b5,eng ENG,FW,Southampton,24,1997,15.7,1,0,0,15,9,2,22,9,7,1,0,0,57,14,38,26.9,Matches
22,Stuart Armstrong\97333cf5,sct SCO,MF,Southampton,29,1992,16.4,1,0,0,11,24,1,32,14,15,1,0,0,147,5,22,18.5,Matches
23,Kepa Arrizabalaga\28d596a0,es ESP,GK,Chelsea,26,1994,4.0,0,0,0,0,1,0,0,0,0,0,0,0,16,0,0,,Matches
24,Harrison Ashby\b391383a,sct SCO,DF,West Ham,19,2001,0.1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,Matches
