Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Patrick van Aanholt\5f09991f,nl NED,DF,Crystal Palace,29,1990,19.7,2,0,0,13,3,3,34,34,19,0,0,0,179,10,11,47.6,Matches
2,Tammy Abraham\f586779e,eng ENG,FW,Chelsea,22,1997,11.6,0,0,0,26,19,5,4,2,4,1,0,0,47,39,28,58.2,Matches
3,Che Adams\f2bf1b0f,sct SCO,FW,Southampton,24,1996,29.6,1,0,0,32,68,19,13,11,17,0,0,0,119,47,141,25.0,Matches
4,Tosin Adarabioyo\c81d773d,eng ENG,DF,Fulham,22,1997,32.8,1,0,0,19,6,2,3,55,26,0,1,1,278,100,39,71.9,Matches
5,Adrián\f76e6b4e,es ESP,GK,Liverpool,33,1987,3.0,0,0,0,0,1,0,0,0,0,0,0,0,20,0,0,,Matches
6,Sergio Agüero\4d034881,ar ARG,FWMF,Manchester City,32,1988,6.2,0,0,0,2,9,1,2,4,0,0,0,0,18,2,6,25.0,Matches
7,Ola Aina\246d153b,ng NGA,DF,Fulham,23,1996,29.6,3,0,0,34,28,2,42,53,25,0,0,0,250,33,43,43.4,Matches
8,Rayan Aït Nouri\9b398aea,fr FRA,DF,Wolves,19,2001,15.6,1,0,0,17,22,1,30,15,16,0,1,0,118,14,21,40.0,Matches
9,Semi Ajayi\d6192210,ng NGA,DF,West Brom,26,1993,30.9,3,1,0,31,8,1,6,41,42,0,2,0,263,85,46,64.9,Matches
10,Nathan Aké\eaeca114,nl NED,DF,Manchester City,25,1995,8.9,4,0,0,8,6,0,0,6,6,0,1,0,80,30,17,63.8,Matches
11,Marc Albrighton\b827d5b3,eng ENG,DFFW,Leicester City,30,1989,19.4,2,0,0,17,24,4,73,28,31,0,0,0,188,15,32,31.9,Matches
12,Thiago Alcántara\77e84962,es ESP,MF,Liverpool,29,1991,20.6,4,0,0,52,41,0,4,42,43,0,1,0,236,34,23,59.6,Matches
13,Toby Alderweireld\f7d50789,be BEL,DF,Tottenham,31,1989,24.9,2,0,0,22,4,0,1,15,19,0,1,1,200,54,39,58.1,Matches
14,Rúnar Alex Rúnarsson\8fa8f8d2,is ISL,GK,Arsenal,25,1995,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
15,Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,Liverpool,21,1998,33.7,2,0,0,23,13,5,182,49,36,0,1,0,336,8,28,22.2,Matches
16,Ezgjan Alioski\1a7fcf39,mk MKD,DF,Leeds United,28,1992,27.3,7,0,0,48,46,6,59,36,42,0,2,0,248,43,43,50.0,Matches
17,Alisson\7a2e46a8,br BRA,GK,Liverpool,27,1992,33.0,1,0,0,1,6,0,0,0,0,0,1,0,170,0,1,0.0,Matches
18,Allan\cc700722,br BRA,MF,Everton,29,1991,22.8,6,0,0,52,38,0,3,23,54,0,0,0,221,6,13,31.6,Matches
19,Dele Alli\cea4ee8f,eng ENG,MF,Tottenham,24,1996,6.9,0,0,0,14,14,1,7,10,15,0,0,0,66,10,13,43.5,Matches
20,Miguel Almirón\862a1c15,py PAR,MFFW,Newcastle Utd,26,1994,27.0,3,0,0,24,45,6,29,27,29,0,0,0,189,8,20,28.6,Matches
21,Marcos Alonso\f4290206,es ESP,DF,Chelsea,29,1990,10.7,2,0,0,14,13,2,13,11,8,0,0,0,86,27,19,58.7,Matches
22,Steven Alzate\ad1f61f3,co COL,MFDF,Brighton,21,1998,10.0,2,0,0,25,10,1,2,7,15,0,0,0,68,6,14,30.0,Matches
23,Daniel Amartey\1a4ef233,gh GHA,DF,Leicester City,25,1994,8.0,3,0,0,3,1,0,0,12,6,0,0,0,94,21,15,58.3,Matches
24,Ethan Ampadu\10b9fa99,wls WAL,DFMF,Sheffield Utd,19,2000,23.2,3,0,0,41,27,1,11,39,36,0,1,1,220,66,30,68.8,Matches
25,Joachim Andersen\e34fc66d,dk DEN,DF,Fulham,24,1996,30.3,7,1,0,45,15,1,4,51,26,0,1,0,335,118,40,74.7,Matches
26,Elliot Anderson\de31038e,sct SCO,MF,Newcastle Utd,17,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
27,Felipe Anderson\9f1893b9,br BRA,FWMF,West Ham,27,1993,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,Matches
28,Michail Antonio\ac05f970,jm JAM,FW,West Ham,30,1990,21.9,3,0,0,34,48,16,30,9,8,1,0,0,81,63,116,35.2,Matches
29,Alphonse Areola\2f965a72,fr FRA,GK,Fulham,27,1993,36.0,2,0,0,0,6,0,0,0,1,0,0,0,150,0,0,,Matches
30,Stuart Armstrong\97333cf5,sct SCO,MF,Southampton,28,1992,30.7,3,0,0,37,39,4,26,31,41,0,0,0,270,8,23,25.8,Matches
31,Kepa Arrizabalaga\28d596a0,es ESP,GK,Chelsea,25,1994,6.5,1,0,0,0,0,0,0,0,0,0,0,0,34,0,0,,Matches
32,Pierre-Emerick Aubameyang\d5dd5f1f,ga GAB,FW,Arsenal,31,1989,25.9,2,0,0,21,19,18,47,6,5,0,0,1,84,31,64,32.6,Matches
33,Serge Aurier\5c2b4f07,ci CIV,DF,Tottenham,27,1992,17.8,0,0,0,28,17,1,21,24,38,0,1,0,156,39,37,51.3,Matches
34,Charlie Austin\8d228291,eng ENG,FW,West Brom,31,1989,1.5,0,0,0,0,2,1,1,2,3,0,0,0,6,7,13,35.0,Matches
35,Jordan Ayew\da052c14,gh GHA,FWMF,Crystal Palace,28,1991,23.3,4,0,0,53,73,5,18,29,33,0,0,0,132,31,110,22.0,Matches
36,Luke Ayling\420d7c7d,eng ENG,DF,Leeds United,28,1991,37.8,7,0,0,38,62,2,70,58,67,0,1,0,404,71,66,51.8,Matches
37,César Azpilicueta\53cad200,es ESP,DF,Chelsea,30,1989,24.3,5,1,0,33,16,5,29,37,31,0,0,0,243,58,48,54.7,Matches
38,Eric Bailly\a1232f4e,ci CIV,DF,Manchester Utd,26,1994,10.2,3,0,0,12,5,0,0,22,6,0,0,0,98,27,17,61.4,Matches
39,Fabián Balbuena\3626f7d9,py PAR,DF,West Ham,28,1991,13.3,1,1,0,12,4,0,0,14,14,0,0,0,114,26,17,60.5,Matches
40,George Baldock\394854c4,gr GRE,DF,Sheffield Utd,27,1993,31.0,7,0,0,57,27,10,51,35,27,0,0,0,209,29,35,45.3,Matches
